feat_idx,feat_name,gain_importance
737,IGKV2D-30,0.23329557
278,TRAV38-1,0.11221014
1062,F13A1,0.089844376
428,CD207,0.08007628
1690,PTGER2,0.03280212
134,FCER1A,0.028126955
782,NAPSA,0.01925496
247,SFTA2,0.017831482
164,RNASE1,0.016437722
51,CCL7,0.011515566
1924,AL133415.1,0.011309304
1741,PHKG1,0.009987884
130,AGR3,0.009057745
1154,IL26,0.008658636
1537,AC114760.2,0.008099077
678,EMP1,0.007952754
425,IL17A,0.007443878
547,IL17F,0.0069155875
898,PHLDA2,0.0062663476
392,TRBV11-1,0.005888079
1063,C1orf56,0.005548592
1816,IGKV3-7,0.0053718267
843,RPS17,0.0050456
809,AC233755.1,0.0046183895
1071,AL138963.3,0.0039233156
256,TRAV1-1,0.0038317416
101,S100A8,0.0034125727
831,IGHV3-69-1,0.0033671975
871,IFNA16,0.003142787
1012,SNHG25,0.0031132053
1830,ZBP1,0.0031093236
1817,TNFSF13,0.0030895115
695,INSIG1,0.0030608058
1453,AP005057.1,0.003021223
457,HLA-DQA2,0.0029542057
1608,ID2,0.0029047595
901,AC114291.1,0.0028504108
1446,PAGE5,0.0027361254
1355,TCF7,0.0026917988
1966,IFNL3,0.002622594
1820,IGHV1-58,0.0025005245
20,SPP1,0.002412629
1035,SHD,0.0024024837
174,IFNA8,0.0023589712
962,CLDN18,0.0022351125
651,VPREB3,0.0021671373
219,TRAV5,0.0020678078
834,IGKV1D-13,0.0020465183
163,TMPRSS11B,0.0020243076
6,BPIFB1,0.0019991226
613,DEFB1,0.0019676613
792,CRH,0.0019047505
19,AGR2,0.0018820808
1335,SEC14L3,0.0018270436
414,TRAV2,0.0017535114
517,UCA1,0.0017477421
847,SOCS1,0.0016548443
964,CYP19A1,0.0015923434
723,TMPRSS11E,0.0015661506
999,S100A1,0.0015543406
1595,LINC01827,0.0015442446
1613,CHN1,0.0015352201
1580,SELENBP1,0.0015115438
58,CXCL10,0.0015010425
574,SERPINB11,0.0014146987
1651,CDKN1A,0.0013825477
1060,GNG2,0.0013706298
458,CETN2,0.0013604079
467,KLK10,0.001304496
1859,SIGLEC14,0.0012576703
1469,CLNK,0.0012512822
1508,NEXN,0.001248585
1884,CD48,0.0012320532
372,TRGV2,0.0011930985
1683,ZBTB20-AS2,0.0011511163
85,HAMP,0.0011492876
741,MDK,0.0011321042
946,MARCKS,0.0011314849
1042,RPS10,0.0011256707
1911,IL3,0.0011186182
14,TFF3,0.0011168155
1365,RNASE2,0.0011028138
592,HIST2H2AA4,0.0010829436
551,TRDV3,0.0010822677
1383,OTUD1,0.0010334903
1086,NPTX2,0.0010236732
473,ALDH3A1,0.0010020119
649,HLA-DQA1,0.00097257475
1389,BLK,0.00096812926
0,SLPI,0.00096622
421,HES1,0.00095749606
1796,DNAH2,0.0009511246
343,CHIT1,0.00092448795
1143,TMPRSS2,0.0009137548
945,AL157895.1,0.0009123185
539,IL1R2,0.0009098418
1497,FNIP2,0.0009086616
850,IL2,0.0009075263
1776,GNG11,0.00090516784
200,TRAV12-2,0.0009022894
1176,VAMP5,0.0008989161
1644,AL121899.1,0.00089514314
29,CCL8,0.0008764653
1385,DNAH3,0.00086619816
265,TRBV25-1,0.0008645888
757,LINC01943,0.00085827307
45,CXCL8,0.0008502996
658,NFKBIA,0.0008479047
1301,ID3,0.0008475162
722,TRGV4,0.00084458117
1134,ANKRD22,0.0008424414
1599,CABCOCO1,0.00084201596
1505,RAB25,0.000834246
193,CXCL5,0.0008170223
1315,CD14,0.00080055883
120,TRBV6-5,0.0007929928
96,MUC5B,0.0007869647
299,IFNG,0.00077960826
605,FOXI1,0.00077728886
1650,DZIP3,0.0007734197
1933,ATP6V0C,0.0007699264
1899,NSG1,0.00076924043
1699,RARRES3,0.00076636963
1330,EZR,0.00075680617
1402,CLCA2,0.00075326266
878,A2ML1,0.0007477461
42,IGHM,0.00074531423
389,CD1A,0.0007418796
1436,TNFRSF25,0.0007392121
1267,ZG16B,0.0007364846
178,TRBV10-2,0.000728821
108,MT1X,0.0007115798
1208,HSD17B13,0.0007061224
753,C22orf15,0.00070067967
1775,RASAL3,0.00069222343
408,GZMH,0.0006846078
583,HP,0.0006699148
509,CD3D,0.0006646696
99,TRBV7-6,0.00065934844
1907,CXCR2,0.0006377058
1866,GBP4,0.000634154
62,CXCL17,0.0006286321
1762,LRTOMT,0.0006246096
1739,CACNA1G,0.000622926
758,IL5,0.0006154529
504,CRIP1,0.00060862204
169,CXCL11,0.0006070537
519,RSAD2,0.00060465134
1,SCGB1A1,0.0005779444
344,CXCL14,0.0005741912
1625,TIMD4,0.00057396706
338,FN1,0.00057239167
950,CD300LB,0.00056891044
535,FOLR3,0.00055714627
795,IL6,0.0005549199
587,MTRNR2L8,0.00055487134
879,FOSB,0.00055302284
631,IFNE,0.00054767734
1746,RIBC1,0.0005415624
1299,SPEF1,0.00053630356
1026,IFNA17,0.0005344546
161,CXCL1,0.0005336642
118,CCL3,0.0005178096
1047,ZBBX,0.00051689346
1941,FAM84A,0.00051467505
562,CD69,0.0005134819
9,MSMB,0.00051030563
94,IL32,0.000509815
499,IGHV4-61,0.00050682254
653,CFAP300,0.0005061233
54,HBB,0.0005060479
135,MTRNR2L12,0.0005046545
891,SELL,0.00050236663
1593,LRRC74B,0.0004973385
1057,STEAP4,0.00049616984
402,IER3,0.00049447623
1437,RMRP,0.00048359417
1623,AC058791.1,0.00048201307
1480,AC105446.1,0.0004787127
1604,XIST,0.00047852885
1689,AL136962.1,0.00047492373
78,APOC1,0.0004688463
305,SAA2,0.000467625
1589,SLC5A3,0.0004635364
1487,BCL11A,0.00045168726
510,HES4,0.0004512473
588,IGLV9-49,0.00044631684
472,LAG3,0.00044318874
1156,DTHD1,0.00043583772
595,HDC,0.00043496277
1172,NEAT1,0.00043391716
16,SERPINB3,0.00042697007
616,ERICH3,0.0004223293
1222,AC015660.2,0.00041700996
5,WFDC2,0.00040992684
433,FABP6,0.00040963752
685,NR4A3,0.0004020012
239,C9orf116,0.0003920383
1082,GZMM,0.0003917944
400,IGKV1-9,0.00038462083
1123,CCDC153,0.0003784934
1588,CCR1,0.00037710075
67,PIGR,0.00037670598
287,SDS,0.00037196343
1654,NLRP3,0.00036851485
436,IGLVI-70,0.0003675923
189,TRAV14DV4,0.00035759894
2,SCGB3A1,0.0003536631
369,TSPAN19,0.00035206953
1617,FAM129B,0.0003506836
1821,CCDC181,0.0003498051
128,TRBV13,0.00034506488
645,ARC,0.0003439234
81,TRBV4-1,0.00034131247
959,THBD,0.00034093793
82,TPSB2,0.00034072297
1229,CFAP70,0.00033805845
844,AL139246.5,0.00033657643
184,IL1RL1,0.00033329282
1748,CYP4F22,0.00033289797
155,FXYD3,0.00032983112
1374,DNAH6,0.00032942812
1587,RGL1,0.00032940353
1981,MAP9,0.0003224127
747,IL12B,0.00031800318
1118,THEMIS,0.00031663434
441,PRSS22,0.00031561858
1342,IFT22,0.00031408176
1198,AL590705.1,0.00031122117
1668,KIAA1551,0.00031077204
1507,LINC02555,0.0003066092
756,GPX2,0.00030642643
751,HIST1H1E,0.0003042657
119,XCL1,0.00030377513
824,H1F0,0.00029956232
1093,HKDC1,0.00029818597
1781,LRRN3,0.00029731705
1237,HAS1,0.00029704726
1029,AQP4,0.0002956355
1339,PLIN2,0.00029517862
1575,CISH,0.0002946792
845,AC015912.3,0.00029419223
1611,LINC01571,0.0002895621
629,CNFN,0.00028924664
429,FCGR3B,0.00028731703
1130,EPCAM,0.00028651222
1519,PIH1D3,0.00028585913
1533,PTPRF,0.0002853874
841,SFTA1P,0.00028431293
1711,TSC22D1,0.0002840423
704,C12orf75,0.0002826575
522,NR4A1,0.00028256292
1621,MSX1,0.0002822969
681,SAXO2,0.00028102662
1181,ALAS2,0.00028020286
462,UBE2C,0.00027877738
727,RGS2,0.00027707816
1524,TTLL10,0.0002740379
827,FHL2,0.00027364434
306,TRAV23DV6,0.0002727758
1148,NUSAP1,0.0002727718
507,METTL7B,0.00027241776
279,TSPAN8,0.0002681793
364,SAT1,0.00026764462
1667,GATA3,0.0002674668
285,MAL,0.0002668177
1331,TRIM29,0.00026599076
1160,SYP,0.00026457483
899,TEKT2,0.0002642228
212,CXCL3,0.00026277863
707,RND3,0.0002587086
323,CCL24,0.00025777632
615,PIP,0.00025488797
1787,CCL23,0.0002530088
1506,OTOF,0.00025254925
989,MT-ATP8,0.0002517512
39,TMEM190,0.00025084394
495,LILRA4,0.00024773437
1278,NR1H3,0.000246819
1055,NEK5,0.0002464718
858,AQP1,0.000246045
398,UPK1B,0.0002459292
1072,AKAP12,0.00024428297
307,TRAV29DV5,0.00024008326
1464,TREM2,0.00023860262
1603,MX1,0.00023714475
1041,RIIAD1,0.0002314407
267,IGKV3-15,0.00023117178
935,C3,0.00023029088
97,SPINK1,0.00022397254
312,IGHV3-21,0.00022331692
1183,YIPF4,0.00022064763
304,IDO1,0.00022037972
349,IGHV3-66,0.00021993576
325,TRAV1-2,0.00021948629
1675,C11orf16,0.00021848803
1142,TEX26,0.00021668908
739,AC108134.2,0.00021523614
1544,AP000919.3,0.00021496997
1240,METRN,0.0002118059
603,PTGS2,0.0002104327
1870,HIF1A,0.00020980298
910,KLF2,0.00020826959
360,TRAV8-2,0.00020733317
744,OLIG2,0.00020703385
147,TRBV6-1,0.00020454744
576,LINC01871,0.00020378103
688,PEG10,0.00020278637
1354,GRAP2,0.00020253468
886,AL138899.1,0.0002010367
1641,FAM184B,0.00019970819
186,OMG,0.00019816788
60,TRBV12-4,0.0001979403
1372,DSG3,0.00019768304
1091,NR1D1,0.00019727371
407,IGHV1-3,0.00019593044
1522,MS4A6A,0.00019409021
438,IGHV1-69D,0.0001897096
1391,HIST2H2AB,0.00018761566
783,TMSB4X,0.00018657342
961,TMEM231,0.00018368897
660,CCDC146,0.00018064483
1084,LRRC8A,0.00018033893
334,IGKV1-27,0.00018025067
1213,A2M,0.00017986202
966,DPCD,0.00017910705
1048,TUSC3,0.00017738128
1167,SDC2,0.00017689996
237,CAPSL,0.00017679777
958,CCDC113,0.00017469472
142,LTB,0.00017467722
1054,TNFRSF9,0.00017451901
839,AC010834.2,0.00017412698
412,THBS1,0.00017402471
456,RETN,0.0001735925
1064,TRGC2,0.0001733492
1768,FAM174A,0.00017231927
829,HIST1H2AC,0.00017203554
1423,BTG2,0.00017173344
1356,LILRA5,0.00017096374
15,LCN2,0.00017010974
1831,CITED2,0.00016984266
521,PTPRCAP,0.00016973712
742,MMP10,0.00016858679
1390,MT-ND3,0.00016731407
260,CRCT1,0.00016500965
4,IGHV4-34,0.00016444644
1585,ALDH2,0.00016370593
639,FCN1,0.0001613421
434,CLCNKB,0.00016123909
183,FST,0.0001608083
406,CD1C,0.00016076771
561,NCCRP1,0.00016016763
1231,SSTR2,0.00015854882
451,IGKV1-17,0.00015830084
712,LINC02154,0.00015647692
1311,CD5,0.0001563998
516,PRDX5,0.00015603809
240,PPBP,0.0001551617
970,B9D1,0.00015410912
1950,VSIG1,0.00015388094
1470,GPNMB,0.00015262174
1451,CCL15,0.00015207828
366,TRAV8-1,0.00015138871
661,CLEC9A,0.00015104978
881,EGOT,0.00015085287
378,C5orf49,0.0001504186
1364,FANK1,0.00015041299
1582,TSC22D3,0.00015028182
1401,TMEM176A,0.00014944878
1083,ASPRV1,0.00014908735
699,FAM166B,0.00014693254
1822,ENAH,0.00014645162
623,NME5,0.0001441009
1239,WDR78,0.00014302693
478,IGKV1-6,0.00014237486
1013,DUSP5,0.00014122938
1633,ATP5IF1,0.00014075304
23,KRT19,0.00013917031
27,IGHA1,0.00013902174
1760,AC008079.2,0.0001384947
569,IFITM3,0.00013780176
665,KLRC2,0.00013691788
1994,RNASE6,0.00013356387
443,TRAV22,0.00013264317
534,PMAIP1,0.00013204964
18,MUC5AC,0.00013166039
1080,IFNA7,0.0001314438
1306,KCNJ15,0.00013058087
1697,TSLP,0.00013008967
701,PADI1,0.00012947748
224,KRT78,0.0001285439
512,IER5,0.0001258253
1031,PROM1,0.00012555727
1360,SFTPD,0.00012392229
923,PRR29,0.00012372927
1149,MEOX1,0.00012175374
1502,GADD45G,0.00012096905
821,MAFB,0.000120764445
61,AQP5,0.00011914553
1106,CEMIP,0.000119084856
636,CCL26,0.00011803816
1008,CKS2,0.00011744687
648,CD3G,0.00011654717
79,KRT8,0.00011637206
345,CXCL2,0.000115769304
497,IGLV3-27,0.00011573116
1929,AZGP1,0.000115027025
1447,CFAP221,0.00011438437
381,MS4A8,0.000112868554
136,C2orf40,0.00011179088
48,KRT7,0.00011163508
580,RSPH9,0.00010992872
1965,MMP25,0.00010909392
793,IGF1,0.0001081779
625,LINC01781,0.00010763365
1584,KLF4,0.00010755057
655,IGLV8-61,0.00010730763
993,KIF21A,0.00010684203
77,CCL17,0.00010682893
787,CAV1,0.00010638374
65,MT1H,0.00010620441
59,S100P,0.000105273524
976,HIST1H1C,0.00010445355
1900,NFKBIZ,0.00010422909
1153,HSPE1,0.00010249581
1178,CX3CR1,0.000101389785
1307,STAB1,9.978587e-05
765,VMO1,9.969606e-05
745,MMP19,9.924015e-05
1813,BCL2,9.84651e-05
173,PIFO,9.819006e-05
856,LMTK3,9.8042845e-05
332,MT1F,9.776748e-05
181,CD24,9.735446e-05
1494,HIST1H2BC,9.721571e-05
1960,AL136131.3,9.714794e-05
875,IFIT3,9.627033e-05
262,MT1A,9.37423e-05
797,RARRES2,9.2641814e-05
63,KRT13,9.23124e-05
720,CAMP,9.121441e-05
21,IGKC,9.11847e-05
802,CD1B,9.0744514e-05
460,KIT,9.068667e-05
1158,LTC4S,9.035914e-05
290,IGHV3-72,8.94433e-05
236,TUBB4B,8.9322726e-05
700,SPINK7,8.85683e-05
1107,MUC12,8.845548e-05
1498,AGRP,8.8173416e-05
382,TNFSF15,8.745606e-05
1556,PDK4,8.666495e-05
1165,TRBV7-4,8.638685e-05
1856,CFAP298,8.614838e-05
1710,ETS2,8.563958e-05
983,CRYBA4,8.537377e-05
1405,KLF6,8.4462416e-05
1956,CD320,8.4439314e-05
859,ALDH1A1,8.328915e-05
157,IGKV3-11,8.2325714e-05
1987,SLFN12L,8.201607e-05
469,TRAV16,7.9375684e-05
1688,MT-ND6,7.9057936e-05
1406,KLF10,7.849698e-05
384,TNF,7.844091e-05
150,CCNO,7.8418154e-05
1937,C1orf54,7.7628894e-05
1847,C17orf97,7.6961405e-05
1289,C6orf118,7.6845376e-05
1248,CIR1,7.671935e-05
682,STMN1,7.661178e-05
269,IL1RN,7.616772e-05
995,GAL,7.524116e-05
1256,CREM,7.5137286e-05
288,IGLV1-51,7.416768e-05
939,ADM,7.4157244e-05
1333,AC013457.1,7.3959636e-05
363,MUC21,7.378923e-05
1680,SAMSN1,7.305136e-05
1523,SNHG12,7.117799e-05
76,TPSAB1,6.947033e-05
43,CAPS,6.915107e-05
57,C20orf85,6.844178e-05
1538,ACSL1,6.798028e-05
284,SFTPC,6.764943e-05
1703,SIRPG,6.722646e-05
585,MUCL1,6.6554465e-05
840,SH2D1B,6.64776e-05
1284,MSC,6.639898e-05
1681,H1FX,6.639502e-05
93,C1orf194,6.6388e-05
1993,MAATS1,6.6057335e-05
1323,ENPP1,6.564726e-05
8,GNLY,6.550264e-05
1404,SQSTM1,6.4632455e-05
1419,S1PR1,6.4625834e-05
459,PLAU,6.459465e-05
1207,HIST1H3I,6.311466e-05
1090,ADGRG3,6.146893e-05
1832,SDC1,6.1459665e-05
1234,IL4I1,6.108259e-05
293,TDO2,6.0730126e-05
1753,ENDOG,6.030484e-05
1601,AC008703.1,6.0027214e-05
1462,MYH14,5.9975016e-05
1161,TSPAN6,5.986599e-05
1457,MT-CO2,5.9611328e-05
291,IGKV2-24,5.8652495e-05
3,IGLV3-19,5.762595e-05
297,TCL1A,5.7550955e-05
1347,CD55,5.7282952e-05
571,TRAV39,5.6468707e-05
1317,SERPINE1,5.551178e-05
1943,CLEC4D,5.5267297e-05
729,DDIT3,5.522347e-05
1931,CCNB1,5.450269e-05
1797,LPL,5.4378394e-05
1951,CFP,5.434385e-05
657,TNFSF10,5.3777418e-05
